STI,CMDB ID,Application Name,SOA Applicable,SOA Status,ESS Self-Assessment Status,ESS Assessment URL,PIA Status,PIA Assessment URL,DPQ Complete,SIA Status,Criticality Tier,Data Classification,Install Status,Collection Method,Collection Date,Status
RDEA-001,RDEA-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.255679,Pending Collection
RELE-001,RELE-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.255699,Pending Collection
REQ-1,REQ-1,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.255701,Pending Collection
REQ-13,REQ-13,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.255703,Pending Collection
REQ-2,REQ-2,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.255705,Pending Collection
REQ-3,REQ-3,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.255707,Pending Collection
REQ-4,REQ-4,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.255709,Pending Collection
REQ-6,REQ-6,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.255711,Pending Collection
REQ-8,REQ-8,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.255713,Pending Collection
REQ-9,REQ-9,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.255714,Pending Collection
RHEL-004,RHEL-004,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.256498,Pending Collection
